owner_name,asset_count
TCRCure Biopharma Ltd.,7
"Treeline Biosciences, Inc.",7
"Truway Health, Inc.",7
Vaxart,7
"VivaVision Biotech, Inc",7
"Zhejiang Haichang Biotech Co., Ltd.",7
OHM LABORATORIES INC,6
BOEHRINGER INGELHEIM,6
TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC,6
THE RITEDOSE CORP,6
ENDO OPERATIONS LTD,6
HUMANWELL PURACAP PHARMACEUTICAL WUHAN CO LTD,6
ZHEJIANG POLY PHARM CO LTD,6
UNIQUE PHARMACEUTICAL LABORATORIES,6
LUPIN PHARMACEUTICALS INC,6
NUVO PHARMACEUTICAL INC,6
ISTITUTO BIOCHIMICO ITALIANO SPA,6
MERCK SHARP AND DOHME CORP A SUB OF MERCK AND CO INC,6
